"","var1","var2","var3","var4","var5"
"1","Lebanese delegation of an international non-governmental organization","environment and climate change",1,"contribute ideas","a potential job opportunity at a local institution"
"2","Lebanese delegation of an international non-governmental organization","environment and climate change",1,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"3","Lebanese delegation of an international non-governmental organization","environment and climate change",1,"contribute ideas","the opportunity to spend quality time with like-minded people"
"4","Lebanese delegation of an international non-governmental organization","environment and climate change",1,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"5","Lebanese delegation of an international non-governmental organization","environment and climate change",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"6","Lebanese delegation of an international non-governmental organization","environment and climate change",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"7","Lebanese delegation of an international non-governmental organization","environment and climate change",1,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"8","Lebanese delegation of an international non-governmental organization","environment and climate change",1,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"9","Lebanese delegation of an international non-governmental organization","environment and climate change",1,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"10","Lebanese delegation of an international non-governmental organization","environment and climate change",7,"contribute ideas","a potential job opportunity at a local institution"
"11","Lebanese delegation of an international non-governmental organization","environment and climate change",7,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"12","Lebanese delegation of an international non-governmental organization","environment and climate change",7,"contribute ideas","the opportunity to spend quality time with like-minded people"
"13","Lebanese delegation of an international non-governmental organization","environment and climate change",7,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"14","Lebanese delegation of an international non-governmental organization","environment and climate change",7,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"15","Lebanese delegation of an international non-governmental organization","environment and climate change",7,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"16","Lebanese delegation of an international non-governmental organization","environment and climate change",7,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"17","Lebanese delegation of an international non-governmental organization","environment and climate change",7,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"18","Lebanese delegation of an international non-governmental organization","environment and climate change",7,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"19","Lebanese delegation of an international non-governmental organization","environment and climate change",25,"contribute ideas","a potential job opportunity at a local institution"
"20","Lebanese delegation of an international non-governmental organization","environment and climate change",25,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"21","Lebanese delegation of an international non-governmental organization","environment and climate change",25,"contribute ideas","the opportunity to spend quality time with like-minded people"
"22","Lebanese delegation of an international non-governmental organization","environment and climate change",25,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"23","Lebanese delegation of an international non-governmental organization","environment and climate change",25,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"24","Lebanese delegation of an international non-governmental organization","environment and climate change",25,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"25","Lebanese delegation of an international non-governmental organization","environment and climate change",25,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"26","Lebanese delegation of an international non-governmental organization","environment and climate change",25,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"27","Lebanese delegation of an international non-governmental organization","environment and climate change",25,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"28","Lebanese delegation of an international non-governmental organization","political and cultural rights",1,"contribute ideas","a potential job opportunity at a local institution"
"29","Lebanese delegation of an international non-governmental organization","political and cultural rights",1,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"30","Lebanese delegation of an international non-governmental organization","political and cultural rights",1,"contribute ideas","the opportunity to spend quality time with like-minded people"
"31","Lebanese delegation of an international non-governmental organization","political and cultural rights",1,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"32","Lebanese delegation of an international non-governmental organization","political and cultural rights",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"33","Lebanese delegation of an international non-governmental organization","political and cultural rights",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"34","Lebanese delegation of an international non-governmental organization","political and cultural rights",1,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"35","Lebanese delegation of an international non-governmental organization","political and cultural rights",1,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"36","Lebanese delegation of an international non-governmental organization","political and cultural rights",1,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"37","Lebanese delegation of an international non-governmental organization","political and cultural rights",7,"contribute ideas","a potential job opportunity at a local institution"
"38","Lebanese delegation of an international non-governmental organization","political and cultural rights",7,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"39","Lebanese delegation of an international non-governmental organization","political and cultural rights",7,"contribute ideas","the opportunity to spend quality time with like-minded people"
"40","Lebanese delegation of an international non-governmental organization","political and cultural rights",7,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"41","Lebanese delegation of an international non-governmental organization","political and cultural rights",7,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"42","Lebanese delegation of an international non-governmental organization","political and cultural rights",7,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"43","Lebanese delegation of an international non-governmental organization","political and cultural rights",7,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"44","Lebanese delegation of an international non-governmental organization","political and cultural rights",7,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"45","Lebanese delegation of an international non-governmental organization","political and cultural rights",7,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"46","Lebanese delegation of an international non-governmental organization","political and cultural rights",25,"contribute ideas","a potential job opportunity at a local institution"
"47","Lebanese delegation of an international non-governmental organization","political and cultural rights",25,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"48","Lebanese delegation of an international non-governmental organization","political and cultural rights",25,"contribute ideas","the opportunity to spend quality time with like-minded people"
"49","Lebanese delegation of an international non-governmental organization","political and cultural rights",25,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"50","Lebanese delegation of an international non-governmental organization","political and cultural rights",25,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"51","Lebanese delegation of an international non-governmental organization","political and cultural rights",25,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"52","Lebanese delegation of an international non-governmental organization","political and cultural rights",25,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"53","Lebanese delegation of an international non-governmental organization","political and cultural rights",25,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"54","Lebanese delegation of an international non-governmental organization","political and cultural rights",25,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"55","Lebanese delegation of an international non-governmental organization","unemployment and poverty",1,"contribute ideas","a potential job opportunity at a local institution"
"56","Lebanese delegation of an international non-governmental organization","unemployment and poverty",1,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"57","Lebanese delegation of an international non-governmental organization","unemployment and poverty",1,"contribute ideas","the opportunity to spend quality time with like-minded people"
"58","Lebanese delegation of an international non-governmental organization","unemployment and poverty",1,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"59","Lebanese delegation of an international non-governmental organization","unemployment and poverty",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"60","Lebanese delegation of an international non-governmental organization","unemployment and poverty",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"61","Lebanese delegation of an international non-governmental organization","unemployment and poverty",1,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"62","Lebanese delegation of an international non-governmental organization","unemployment and poverty",1,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"63","Lebanese delegation of an international non-governmental organization","unemployment and poverty",1,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"64","Lebanese delegation of an international non-governmental organization","unemployment and poverty",7,"contribute ideas","a potential job opportunity at a local institution"
"65","Lebanese delegation of an international non-governmental organization","unemployment and poverty",7,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"66","Lebanese delegation of an international non-governmental organization","unemployment and poverty",7,"contribute ideas","the opportunity to spend quality time with like-minded people"
"67","Lebanese delegation of an international non-governmental organization","unemployment and poverty",7,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"68","Lebanese delegation of an international non-governmental organization","unemployment and poverty",7,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"69","Lebanese delegation of an international non-governmental organization","unemployment and poverty",7,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"70","Lebanese delegation of an international non-governmental organization","unemployment and poverty",7,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"71","Lebanese delegation of an international non-governmental organization","unemployment and poverty",7,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"72","Lebanese delegation of an international non-governmental organization","unemployment and poverty",7,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"73","Lebanese delegation of an international non-governmental organization","unemployment and poverty",25,"contribute ideas","a potential job opportunity at a local institution"
"74","Lebanese delegation of an international non-governmental organization","unemployment and poverty",25,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"75","Lebanese delegation of an international non-governmental organization","unemployment and poverty",25,"contribute ideas","the opportunity to spend quality time with like-minded people"
"76","Lebanese delegation of an international non-governmental organization","unemployment and poverty",25,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"77","Lebanese delegation of an international non-governmental organization","unemployment and poverty",25,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"78","Lebanese delegation of an international non-governmental organization","unemployment and poverty",25,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"79","Lebanese delegation of an international non-governmental organization","unemployment and poverty",25,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"80","Lebanese delegation of an international non-governmental organization","unemployment and poverty",25,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"81","Lebanese delegation of an international non-governmental organization","unemployment and poverty",25,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"82","local association","environment and climate change",1,"contribute ideas","a potential job opportunity at a local institution"
"83","local association","environment and climate change",1,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"84","local association","environment and climate change",1,"contribute ideas","the opportunity to spend quality time with like-minded people"
"85","local association","environment and climate change",1,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"86","local association","environment and climate change",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"87","local association","environment and climate change",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"88","local association","environment and climate change",1,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"89","local association","environment and climate change",1,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"90","local association","environment and climate change",1,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"91","local association","environment and climate change",7,"contribute ideas","a potential job opportunity at a local institution"
"92","local association","environment and climate change",7,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"93","local association","environment and climate change",7,"contribute ideas","the opportunity to spend quality time with like-minded people"
"94","local association","environment and climate change",7,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"95","local association","environment and climate change",7,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"96","local association","environment and climate change",7,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"97","local association","environment and climate change",7,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"98","local association","environment and climate change",7,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"99","local association","environment and climate change",7,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"100","local association","environment and climate change",25,"contribute ideas","a potential job opportunity at a local institution"
"101","local association","environment and climate change",25,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"102","local association","environment and climate change",25,"contribute ideas","the opportunity to spend quality time with like-minded people"
"103","local association","environment and climate change",25,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"104","local association","environment and climate change",25,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"105","local association","environment and climate change",25,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"106","local association","environment and climate change",25,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"107","local association","environment and climate change",25,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"108","local association","environment and climate change",25,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"109","local association","political and cultural rights",1,"contribute ideas","a potential job opportunity at a local institution"
"110","local association","political and cultural rights",1,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"111","local association","political and cultural rights",1,"contribute ideas","the opportunity to spend quality time with like-minded people"
"112","local association","political and cultural rights",1,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"113","local association","political and cultural rights",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"114","local association","political and cultural rights",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"115","local association","political and cultural rights",1,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"116","local association","political and cultural rights",1,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"117","local association","political and cultural rights",1,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"118","local association","political and cultural rights",7,"contribute ideas","a potential job opportunity at a local institution"
"119","local association","political and cultural rights",7,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"120","local association","political and cultural rights",7,"contribute ideas","the opportunity to spend quality time with like-minded people"
"121","local association","political and cultural rights",7,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"122","local association","political and cultural rights",7,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"123","local association","political and cultural rights",7,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"124","local association","political and cultural rights",7,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"125","local association","political and cultural rights",7,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"126","local association","political and cultural rights",7,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"127","local association","political and cultural rights",25,"contribute ideas","a potential job opportunity at a local institution"
"128","local association","political and cultural rights",25,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"129","local association","political and cultural rights",25,"contribute ideas","the opportunity to spend quality time with like-minded people"
"130","local association","political and cultural rights",25,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"131","local association","political and cultural rights",25,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"132","local association","political and cultural rights",25,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"133","local association","political and cultural rights",25,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"134","local association","political and cultural rights",25,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"135","local association","political and cultural rights",25,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"136","local association","unemployment and poverty",1,"contribute ideas","a potential job opportunity at a local institution"
"137","local association","unemployment and poverty",1,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"138","local association","unemployment and poverty",1,"contribute ideas","the opportunity to spend quality time with like-minded people"
"139","local association","unemployment and poverty",1,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"140","local association","unemployment and poverty",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"141","local association","unemployment and poverty",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"142","local association","unemployment and poverty",1,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"143","local association","unemployment and poverty",1,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"144","local association","unemployment and poverty",1,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"145","local association","unemployment and poverty",7,"contribute ideas","a potential job opportunity at a local institution"
"146","local association","unemployment and poverty",7,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"147","local association","unemployment and poverty",7,"contribute ideas","the opportunity to spend quality time with like-minded people"
"148","local association","unemployment and poverty",7,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"149","local association","unemployment and poverty",7,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"150","local association","unemployment and poverty",7,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"151","local association","unemployment and poverty",7,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"152","local association","unemployment and poverty",7,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"153","local association","unemployment and poverty",7,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"154","local association","unemployment and poverty",25,"contribute ideas","a potential job opportunity at a local institution"
"155","local association","unemployment and poverty",25,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"156","local association","unemployment and poverty",25,"contribute ideas","the opportunity to spend quality time with like-minded people"
"157","local association","unemployment and poverty",25,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"158","local association","unemployment and poverty",25,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"159","local association","unemployment and poverty",25,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"160","local association","unemployment and poverty",25,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"161","local association","unemployment and poverty",25,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"162","local association","unemployment and poverty",25,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"163","local branch of a political party","environment and climate change",1,"contribute ideas","a potential job opportunity at a local institution"
"164","local branch of a political party","environment and climate change",1,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"165","local branch of a political party","environment and climate change",1,"contribute ideas","the opportunity to spend quality time with like-minded people"
"166","local branch of a political party","environment and climate change",1,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"167","local branch of a political party","environment and climate change",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"168","local branch of a political party","environment and climate change",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"169","local branch of a political party","environment and climate change",1,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"170","local branch of a political party","environment and climate change",1,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"171","local branch of a political party","environment and climate change",1,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"172","local branch of a political party","environment and climate change",7,"contribute ideas","a potential job opportunity at a local institution"
"173","local branch of a political party","environment and climate change",7,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"174","local branch of a political party","environment and climate change",7,"contribute ideas","the opportunity to spend quality time with like-minded people"
"175","local branch of a political party","environment and climate change",7,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"176","local branch of a political party","environment and climate change",7,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"177","local branch of a political party","environment and climate change",7,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"178","local branch of a political party","environment and climate change",7,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"179","local branch of a political party","environment and climate change",7,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"180","local branch of a political party","environment and climate change",7,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"181","local branch of a political party","environment and climate change",25,"contribute ideas","a potential job opportunity at a local institution"
"182","local branch of a political party","environment and climate change",25,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"183","local branch of a political party","environment and climate change",25,"contribute ideas","the opportunity to spend quality time with like-minded people"
"184","local branch of a political party","environment and climate change",25,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"185","local branch of a political party","environment and climate change",25,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"186","local branch of a political party","environment and climate change",25,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"187","local branch of a political party","environment and climate change",25,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"188","local branch of a political party","environment and climate change",25,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"189","local branch of a political party","environment and climate change",25,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"190","local branch of a political party","political and cultural rights",1,"contribute ideas","a potential job opportunity at a local institution"
"191","local branch of a political party","political and cultural rights",1,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"192","local branch of a political party","political and cultural rights",1,"contribute ideas","the opportunity to spend quality time with like-minded people"
"193","local branch of a political party","political and cultural rights",1,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"194","local branch of a political party","political and cultural rights",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"195","local branch of a political party","political and cultural rights",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"196","local branch of a political party","political and cultural rights",1,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"197","local branch of a political party","political and cultural rights",1,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"198","local branch of a political party","political and cultural rights",1,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"199","local branch of a political party","political and cultural rights",7,"contribute ideas","a potential job opportunity at a local institution"
"200","local branch of a political party","political and cultural rights",7,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"201","local branch of a political party","political and cultural rights",7,"contribute ideas","the opportunity to spend quality time with like-minded people"
"202","local branch of a political party","political and cultural rights",7,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"203","local branch of a political party","political and cultural rights",7,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"204","local branch of a political party","political and cultural rights",7,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"205","local branch of a political party","political and cultural rights",7,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"206","local branch of a political party","political and cultural rights",7,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"207","local branch of a political party","political and cultural rights",7,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"208","local branch of a political party","political and cultural rights",25,"contribute ideas","a potential job opportunity at a local institution"
"209","local branch of a political party","political and cultural rights",25,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"210","local branch of a political party","political and cultural rights",25,"contribute ideas","the opportunity to spend quality time with like-minded people"
"211","local branch of a political party","political and cultural rights",25,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"212","local branch of a political party","political and cultural rights",25,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"213","local branch of a political party","political and cultural rights",25,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"214","local branch of a political party","political and cultural rights",25,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"215","local branch of a political party","political and cultural rights",25,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"216","local branch of a political party","political and cultural rights",25,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"217","local branch of a political party","unemployment and poverty",1,"contribute ideas","a potential job opportunity at a local institution"
"218","local branch of a political party","unemployment and poverty",1,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"219","local branch of a political party","unemployment and poverty",1,"contribute ideas","the opportunity to spend quality time with like-minded people"
"220","local branch of a political party","unemployment and poverty",1,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"221","local branch of a political party","unemployment and poverty",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"222","local branch of a political party","unemployment and poverty",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"223","local branch of a political party","unemployment and poverty",1,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"224","local branch of a political party","unemployment and poverty",1,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"225","local branch of a political party","unemployment and poverty",1,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"226","local branch of a political party","unemployment and poverty",7,"contribute ideas","a potential job opportunity at a local institution"
"227","local branch of a political party","unemployment and poverty",7,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"228","local branch of a political party","unemployment and poverty",7,"contribute ideas","the opportunity to spend quality time with like-minded people"
"229","local branch of a political party","unemployment and poverty",7,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"230","local branch of a political party","unemployment and poverty",7,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"231","local branch of a political party","unemployment and poverty",7,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"232","local branch of a political party","unemployment and poverty",7,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"233","local branch of a political party","unemployment and poverty",7,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"234","local branch of a political party","unemployment and poverty",7,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"235","local branch of a political party","unemployment and poverty",25,"contribute ideas","a potential job opportunity at a local institution"
"236","local branch of a political party","unemployment and poverty",25,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"237","local branch of a political party","unemployment and poverty",25,"contribute ideas","the opportunity to spend quality time with like-minded people"
"238","local branch of a political party","unemployment and poverty",25,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"239","local branch of a political party","unemployment and poverty",25,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"240","local branch of a political party","unemployment and poverty",25,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"241","local branch of a political party","unemployment and poverty",25,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"242","local branch of a political party","unemployment and poverty",25,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"243","local branch of a political party","unemployment and poverty",25,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
